CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS90 Y;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
20048AS;5;CHAMARTIN;CALLE;PRINCIPE DE VERGARA;275;;442599.77;4478823.76;43059;-3.6769943;40.4580987;CALLE PRINCIPE DE VERGARA,275
20043AS;5;CHAMARTIN;CALLE;SAN ERNESTO;2;;442594.29;4477851.39;43167;-3.676971;40.4493387;CALLE SAN ERNESTO,2
20044AS;5;CHAMARTIN;PLAZA;PROSPERIDAD;1;;442764.50;4477254.49;43182;-3.6749101;40.4439733;PLAZA PROSPERIDAD,1
20046AS;5;CHAMARTIN;PASEO;CASTELLANA;142;;441495.87;4478230.64;43378;-3.6899585;40.4526786;PASEO CASTELLANA,142
20111AS;6;TETUAN;PARQUE;RODRIGUEZ SAHAGUN;S/N;;439732.46;4480043.66;42718;-3.7109256;40.468885;PARQUE RODRIGUEZ SAHAGUN,S/N
20106AS;6;TETUAN;PASEO;DIRECCION;374;;440588.26;4480374.59;43098;-3.7008622;40.4719278;PASEO DIRECCION,374
20110AS;6;TETUAN;CALLE;BASILICA;15;;441015.18;4477859.02;43137;-3.6955925;40.4492969;CALLE BASILICA,15
20051AS;7;CHAMBERI;CALLE;ANDRES MELLADO;34;;439394.86;4476114.67;43076;-3.7145327;40.4334665;CALLE ANDRES MELLADO,34
20108AS;7;CHAMBERI;AVENIDA;REINA VICTORIA;7;;440219.27;4477592.52;43153;-3.7049527;40.4468393;AVENIDA REINA VICTORIA,7
20030AS;7;CHAMBERI;PLAZA;JUAN ZORRILLA;4;;440263.71;4477086.29;43178;-3.7043811;40.4422822;PLAZA JUAN ZORRILLA,4
20112AS;7;CHAMBERI;PLAZA;SAN JUAN DE LA CRUZ;9;;441069.47;4476972.51;43194;-3.6948701;40.4413147;PLAZA SAN JUAN DE LA CRUZ,9
20052AS;7;CHAMBERI;GLORIETA;QUEVEDO;1;;440266.59;4476076.61;43263;-3.7042522;40.4331867;GLORIETA QUEVEDO,1
20096AS;7;CHAMBERI;GLORIETA;RUIZ JIMENEZ;5;;440170.13;4475693.23;43388;-3.7053533;40.4297261;GLORIETA RUIZ JIMENEZ,5
20064AS;8;FUENCARRAL - EL PARDO;CALLE;COSTA BRAVA;13;;440593.87;4482929.73;42958;-3.7010354;40.4949458;CALLE COSTA BRAVA,13
20036AS;8;FUENCARRAL - EL PARDO;PASEO;VAGUADA;13;;439634.91;4481284.71;43074;-3.7121944;40.4800577;PASEO VAGUADA,13
20107AS;8;FUENCARRAL - EL PARDO;AVENIDA;MONASTERIO DEL ESCORIAL;3;;439844.52;4484021.61;43161;-3.7099814;40.5047279;AVENIDA MONASTERIO DEL ESCORIAL,3
20065AS;8;FUENCARRAL - EL PARDO;AVENIDA;LA GUARDIA;4;;434291.63;4485659.44;43229;-3.7756836;40.5190605;AVENIDA LA GUARDIA,4
20068AS;8;FUENCARRAL - EL PARDO;CALLE;GINZO DE LIMIA;47;;440130.12;4481657.06;43286;-3.7063874;40.4834478;CALLE GINZO DE LIMIA,47
20033AS;8;FUENCARRAL - EL PARDO;CALLE;PEDRO RICO;1;;441552.07;4481295.21;43428;-3.689578;40.4802895;CALLE PEDRO RICO,1
20081AS;9;MONCLOA-ARAVACA     ;PASEO;PINTOR ROSALES;14;;439050.46;4475223.00;42751;-3.7185074;40.4254088;PASEO PINTOR ROSALES,14
20113AS;9;MONCLOA-ARAVACA     ;CALLE;SANCHEZ PRECIADO;75;;439861.47;4479468.49;43136;-3.7093494;40.463713;CALLE SANCHEZ PRECIADO,75
20078AS;9;MONCLOA-ARAVACA     ;PASEO;JUAN XXIII;13;;439197.67;4477753.91;43160;-3.7170143;40.4482191;PASEO JUAN XXIII,13
20090AS;9;MONCLOA-ARAVACA     ;CALLE;ISLA DE OZA;82;;438877.50;4479466.67;43180;-3.7209545;40.4636248;CALLE ISLA DE OZA,82
20080AS;9;MONCLOA-ARAVACA     ;PASEO;MORET;1;;438939.41;4476279.57;43216;-3.7199179;40.4349187;PASEO MORET,1
20040AS;9;MONCLOA-ARAVACA     ;PASEO;FLORIDA;1;;438852.69;4474708.40;43216;-3.7207892;40.4207586;PASEO FLORIDA,1
20076AS;9;MONCLOA-ARAVACA     ;CALLE;SAN ROBERTO;1;;435454.94;4472801.85;43377;-3.7606443;40.4033271;CALLE SAN ROBERTO,1
20073AS;10;LATINA;CALLE;HIGUERAS;49;;436749.22;4472941.24;43045;-3.7454067;40.4046821;CALLE HIGUERAS,49
20063AS;10;LATINA;CALLE;CUART DE POBLET;1;;436787.48;4472322.43;43083;-3.7448944;40.3991105;CALLE CUART DE POBLET,1
20053AS;10;LATINA;PASEO;ERMITA DEL SANTO;2;"CERCANO A QUIOSCO ""SEGOVIA""";438566.64;4473912.97;43144;-3.724084;40.4135719;PASEO ERMITA DEL SANTO,2
20067AS;10;LATINA;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;174;;435900.62;4472493.61;43146;-3.7553615;40.4005847;CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,174
20074AS;10;LATINA;CALLE;BLAS CABRERA;141;;435027.81;4470006.75;43152;-3.7653924;40.3781145;CALLE BLAS CABRERA,141
20071AS;10;LATINA;AVENIDA;LAS AGUILAS;76;;433768.95;4470382.23;43207;-3.7802599;40.3813979;AVENIDA LAS AGUILAS,76
20045AS;10;LATINA;CALLE;VALMOJADO;99;;435645.41;4471765.80;43514;-3.7582951;40.3940087;CALLE VALMOJADO,99
20070AS;10;LATINA;CALLE;OCAÑA;2;;435466.64;4470867.15;43524;-3.7603104;40.3858994;CALLE OCAÑA,2
20014AS;11;CARABANCHEL;AVENIDA;PESETA;47;;435668.15;4468308.67;43045;-3.7576782;40.3628671;AVENIDA PESETA,47
20013AS;11;CARABANCHEL;PARQUE;MADRID RIO;;"CERCANO A QUIOSCO ""MONTSERRAT""";439501.25;4472131.10;43045;-3.7128996;40.3975885;PARQUE MADRID RIO,
20109AS;11;CARABANCHEL;AVENIDA;EURO;2;;437284.97;4469471.47;43052;-3.7387518;40.3734654;AVENIDA EURO,2
20102AS;11;CARABANCHEL;AVENIDA;OPORTO;4;;438977.90;4470734.77;43089;-3.7189324;40.3849715;AVENIDA OPORTO,4
20010AS;11;CARABANCHEL;AVENIDA;MANZANARES;108;JUNTO A PASEO DE SAN ILLAN;438990.03;4472335.49;43125;-3.7189428;40.3993924;AVENIDA MANZANARES,108
20023AS;11;CARABANCHEL;CALLE;CARLOS DABAN;30;;437945.09;4472123.57;43210;-3.7312348;40.3974061;CALLE CARLOS DABAN,30
20016AS;11;CARABANCHEL;GLORIETA;MARQUES DE VADILLO;2;;439280.27;4472104.45;43213;-3.7155009;40.3973323;GLORIETA MARQUES DE VADILLO,2
